"ID","Type","KCNAB2","DKK3","ALDOB","MLPH","AGT","GAD1","ARG2","SLC2A2"
"GSM5009230",1,7.15407606732446,7.17805254613822,7.86214954927578,7.96849237114452,9.61813712465729,5.4160781751186,8.48391045177799,5.68365799610515
"GSM5009243",1,7.39384426558142,8.02510185265152,8.16176147914244,7.47766822022156,9.59002606238879,7.82763485713935,8.4950464682598,6.95878616647927
"GSM5009244",1,7.45915202231442,7.6608107056497,9.59427477031038,9.33801954881761,12.5654650493022,7.81290414247854,8.0808553227231,4.14494458019928
"GSM5009247",1,7.71310670703309,6.98966390228001,7.37044051364957,8.88659170033073,10.0928117306123,6.52204704070498,8.49227693079923,6.81479069889868
"GSM5009250",1,7.06957380056836,6.92708325153911,9.40184563936377,7.64767273759242,9.85404044072896,5.79112571245651,7.71780020100736,5.7719655149468
"GSM5009255",1,7.32221482174383,7.31477174076995,8.64210016431115,7.99499247328728,10.0325696506552,7.65477551142517,8.57146429258925,6.04061427073023
"GSM5009257",1,7.13941198526728,6.84808812031402,8.74616967231611,6.58485707226051,9.82176675342863,4.95447290603404,7.19068650318456,5.28452570449061
"GSM5009267",1,6.29564728791015,7.01694954630906,6.73994261452302,7.67481540639944,9.42378709564666,6.22929669553556,7.6728287717427,4.59852455686055
"GSM5009279",1,7.51024206777724,8.19815384372117,9.49279557599325,8.47220516242908,10.0878288962406,6.82541036064899,8.14752364979144,6.73789175637377
"GSM5009281",1,8.17334785795543,8.45641459508473,11.1979103841819,8.46299095731598,10.2262417634061,7.66206316707145,8.14324747806802,6.74085664744849
"GSM5009288",1,6.84285356345764,7.45461709970462,8.08685364410157,8.32039857517181,10.1906274009468,7.67286553547431,8.12151768474478,6.18073394877254
"GSM5009289",1,7.24931877194913,7.00342502058821,8.66512965240875,7.30239777340789,9.39153755429316,6.8468640104185,7.82029447966195,5.49978771019784
"GSM5009290",1,7.3164068551464,7.3535900280684,8.38675870740623,8.71278837742379,9.79298414047092,6.74517261706967,8.00813660667419,6.04061427073023
"GSM5009291",1,6.79726920837639,6.72866882684232,7.82126103900717,7.18368124877028,9.13497214769085,4.64568924859257,7.64936035591075,5.24074459917921
"GSM5009292",1,7.24931877194913,7.52092698834917,8.41168125798182,7.97743069515647,9.99024970117228,7.26085663884128,8.37283267979477,7.21296590436725
"GSM5009293",1,7.53669173460014,7.89594029634174,10.0451295187837,8.73243006716851,9.94345989712947,7.02521496909535,8.56642163258593,7.06895469891804
"GSM5009295",1,7.38857369567972,6.85360854439307,8.74616967231611,7.95944570117398,10.0624191565822,6.95513758997597,7.44217095407321,5.93384561044135
"GSM5009297",1,7.6673598342413,6.98966390228001,8.75182533525558,7.52800242223787,9.48083876398077,7.26085663884128,8.12151768474478,6.30715967108092
"GSM5009299",1,7.18256080776101,7.63271281869569,8.56699210558638,7.46010644209074,9.78066635412216,6.65547445116772,8.25511941096488,6.07768032020594
"GSM5009304",1,8.19857454853817,8.5728487374641,10.7702853201351,8.00362079059304,9.7731799558439,8.03347559391093,9.47624549804226,7.37415340085731
"GSM5009306",1,8.15101917300898,7.73954207921836,10.6586931934215,8.35333073212402,9.49536457648403,7.74447367732712,7.8937914253599,7.13509176851797
"GSM5009308",1,7.42972383424727,7.72332176842091,8.90536928531347,8.66484172970274,9.63632329057083,6.99968562206158,7.96111321281991,7.20043297183819
"GSM5009310",1,7.37253309856451,8.14031572494572,9.87072186259741,7.25715112438705,9.84723764044394,8.00164481487274,8.26989918979114,7.42361874283295
"GSM5009311",1,8.04126349579509,8.22169646465543,8.73091369722382,8.74524310519969,10.2164346852682,7.94377742800898,8.41973378579742,7.06270139506697
"GSM5009315",1,7.43966374114253,8.30419241445676,10.5775702253682,8.35333073212402,9.81940887954009,4.11782009961157,7.9502781790445,7.02426847035157
"GSM5009317",1,6.40315630041359,7.83831729299586,8.35534026826745,8.01215049639909,9.32267870187796,6.53808035297703,7.19068650318456,5.57568619082854
"GSM5009322",1,7.36710807836605,8.05790930116045,9.96309239808288,8.63230839419235,9.80750995297417,7.84494365228506,8.94294506054968,7.00443715672446
"GSM5009325",1,6.4608877531303,8.33658374393725,9.12937135535637,8.73243006716851,10.4153716904478,6.01021120399603,8.68385043444882,6.50249307610711
"GSM5009327",1,7.15407606732446,7.73775625052193,8.96228691803766,7.590233546844,9.9230924334598,6.27546563111383,8.43179085958629,6.31656612416061
"GSM5009329",1,7.12445163917531,7.8256289985218,8.11377871071157,9.22009447826735,11.0310240263077,7.36942613998921,9.17715320268131,6.80655484315754
"GSM5009330",1,7.44947198976648,8.01385477492603,10.1852179074899,7.95944570117398,10.8884100529486,7.07384132598464,8.89067203226573,6.10159203880069
"GSM5009337",1,7.70968632245274,8.24923465240195,10.9510895902817,8.32039857517181,9.37489160366741,7.25469017435222,8.54072134584724,7.4093422250836
"GSM5009338",1,7.55803361359868,8.19715744434421,9.40092544081048,8.30337104268616,10.5865040760473,6.27546563111383,8.10369961151955,6.88071662661581
"GSM5009342",1,6.72315621180805,7.71047060649288,8.49264744840233,8.97799377418839,10.1532852011101,5.6522779644963,7.77408859242038,6.42257048028554
"GSM5009344",1,6.19676569662589,7.33292617422876,6.95315729205483,8.64694300297278,9.4118512717085,5.94394732409959,8.29157024678252,6.43911605693071
"GSM5009346",1,7.89920804315101,8.37885235533585,11.4235828224688,7.85194319419928,9.06274622717726,7.75095502881817,8.30569889955727,8.13541216610084
