"ID","Type","RECQL4","GPT2","SPP1","ADM2","C1QTNF6","STX1A","ARHGEF16","ZNF692","CLEC3B","HBB","CD300C","LAMP3","MSR1","VSIG4"
"TCGA-38-7271-01A","1",3.81770312966931,4.53388014493775,8.25365978388112,4.75762843513399,3.62388324680788,3.7201235276465,4.11659223097009,4.66808964840178,6.31156542915309,8.9685863948227,4.20830381771434,8.99339747003484,5.49367075385178,6.43103269575548
"TCGA-55-7914-01A","1",4.81964722927976,6.35648919749606,11.0208558553529,5.5047892975512,5.2286474825087,5.38764224238268,4.65314751385498,6.1369167541786,4.59328194881679,5.61247270509495,3.13151159036159,8.00812112255536,4.71154972958364,5.371035732315
"TCGA-95-7043-01A","1",5.4455706416826,5.6083426593224,11.0922796689071,6.79763857492323,3.47820889883839,5.20843205314375,4.59307802268161,5.17247528205317,4.68097244311775,7.15199037734735,1.8610499169123,5.62467013224612,3.46849899794485,4.39866172298316
"TCGA-73-4658-01A","1",4.55726770928677,4.85700877019095,12.5249463784478,4.12309005596089,5.18481206024071,4.75290802503948,4.87736933699949,4.96993922823953,5.63176951664971,8.95663920425808,4.88337092037921,8.01975371113505,6.93576731937902,8.9213357472034
"TCGA-86-8076-01A","1",4.38857160149929,5.85327327301464,8.87914710889162,5.31981250235724,4.39660771490689,4.24214231738042,5.30993563699187,5.84546850186008,5.19760123017166,7.62682050001484,3.50131284177562,8.31427948862161,4.60756273807356,6.1491046944559
"TCGA-55-7726-01A","1",4.56190913278018,3.90217482568208,10.3776970860713,4.41332765601594,6.00688451355177,4.78462586600128,4.310390471803,4.79226652565806,2.91962688765554,6.7995850071433,2.90440320606483,5.83237949900141,5.31066432443017,6.04105242767977
"TCGA-44-6147-01A","1",4.9642884828474,6.2400922194817,10.372915184688,4.33301481189781,4.02329718918697,3.90996846691482,5.29809228235757,5.69679295610748,5.76290183616327,9.82008097316675,3.28833419352614,7.79567714820798,5.61267957818658,6.03029792466321
"TCGA-50-5932-01A","1",5.22286745224906,6.86367743498782,6.14922440033733,5.26831907474973,3.80484904505281,5.55396099203091,4.18767276387845,6.34524614184397,5.68404022130001,7.18165377439937,3.72435282401459,6.79059673868543,4.97888425991894,7.036132557672
"TCGA-44-2661-01A","1",3.9076171797462,4.07898261508772,10.9238184413738,3.52696348873637,3.6743786862487,4.19885794499127,4.6310757899849,5.51484507682568,5.39387271369132,8.80914859554043,4.84028502609348,8.09558950750841,7.17755990666247,8.40966452523345
"TCGA-86-7954-01A","1",5.6223802100468,6.49925006935825,10.0809509539206,5.90937835392121,5.00291492229774,5.12592967591762,5.86778028799877,6.88131640627727,4.78084032299469,7.6230670722188,4.4293311069878,8.90416419672644,6.58545742628562,8.13971092256175
"TCGA-64-5775-01A","1",6.42535524212187,5.60157713308614,11.1790437202382,2.80599672585834,4.14343813181389,6.62094864022564,1.73122375764822,4.49183895100893,3.44678874577449,5.73492070951302,4.34414601724865,4.01890248369273,6.13368637608503,8.92270557120776
"TCGA-73-4662-01A","1",4.93135549302932,5.50315287850845,9.63788193493239,4.18443736224958,4.32246074020761,3.70451311536929,6.02141401679071,5.37372436654626,5.12714531922782,7.36167378265151,4.36480847884579,7.74969386524575,5.4765404490232,7.62061851233987
"TCGA-44-7671-01A","1",4.45294840479615,7.18777842936521,9.22374614271094,4.54270783493407,4.46597725993779,4.94243105730601,6.46086259267823,5.30939206594642,5.66500256830103,7.80306677652284,2.5155373159806,7.35713942954743,4.85501869284266,5.92316930399774
"TCGA-78-8660-01A","1",6.74935726037333,5.96341838835846,6.71636183509347,5.35230935503778,4.11788107507011,5.67307879355285,5.3319843369639,6.56214558411317,6.02906854021813,5.91473233293032,4.38425856464051,8.43471479593279,5.07653742665595,7.27040264523662
