"ID","Type","RECQL4","GPT2","SPP1","ADM2","C1QTNF6","STX1A","ARHGEF16","ZNF692","CLEC3B","HBB","CD300C","LAMP3","MSR1","VSIG4"
"GSM773540","1",6.04079198893237,7.53749330727487,9.90600318896487,4.16892287620481,4.52819381336729,4.8963375801835,6.85367452836798,7.36913568640136,4.12864207174704,5.74512553735651,0.0751292801301608,8.77331859230835,3.12381617896828,4.97228561261296
"GSM773541","1",5.22216619900673,5.94227996328704,11.6200767284395,5.56040237581085,4.75052068493797,5.98181258271682,5.46128068602121,5.84540585698254,3.65552689708747,7.31840032281261,5.2101315836787,7.02331048897607,6.43143153731808,9.07026746724173
"GSM773542","1",5.22109536335214,5.21466535295902,9.64911686445286,6.05631643358602,5.36274010795357,6.41129189524275,5.98578044632082,5.30595769903714,4.29506095787376,4.53466115567255,3.9153207032089,4.58357577504525,4.98569159084072,8.16671177852125
"GSM773543","1",5.34470875423989,5.87399556245323,11.1590703351388,5.5558275757889,3.64613202320192,5.71576934689323,6.70686418516921,5.70979570791369,5.04451316473456,5.55518814817579,3.27455756133697,7.5155182248696,4.41465233626382,6.2068164366201
"GSM773544","1",4.40572826945285,5.56502788764899,11.5737997258229,5.42220259163888,3.81867871140691,6.79128283520904,5.36067101818367,4.90812846552798,3.76042397072246,7.34957278173021,3.0564720962118,7.05384273911346,5.26103141864816,6.25800201997855
"GSM773545","1",5.45568448085919,5.34510895921725,10.6662130098774,4.12951976884557,5.13718097448721,5.09603449619062,6.00848866949957,6.19882505840647,6.24825320275437,7.51793292984469,4.31003719909243,9.01098541667721,6.09031217158475,8.27028794216661
"GSM773546","1",5.18023503015329,5.11408189545174,11.4650919483835,5.75707216231877,5.52759952787137,6.08385383867828,5.39285366263441,5.5548456475611,4.44883006808438,4.00481693729856,4.00600619157711,4.47113724123153,5.69369944350942,7.56688282845422
"GSM773547","1",4.9705168809799,3.90852616557068,10.9973362172355,5.32740431065656,5.40326342288785,4.86420603838564,5.17718064606846,5.97197066074761,5.74863763786103,8.81479531158367,3.28975873862703,8.24078750886478,6.03031767526051,7.13283480481236
"GSM773548","1",5.82618018511906,6.25637904977913,10.304444601735,4.50053830645357,5.04901743511921,6.4691785121002,7.14512463602587,6.69072710579692,4.70251773923504,7.81508763617124,1.62923419541206,8.50541120676815,4.97276559768804,5.42339164906781
"GSM773549","1",5.22758466516361,5.54591234441427,11.1564740679198,5.74971400037515,5.03760486599153,5.37811936738674,5.61091786113409,5.5938550237759,5.45952518166262,7.45243998252222,5.47796753656163,8.62536213125656,7.47160069628892,9.03505584798509
"GSM773550","1",5.34000117658835,5.51665677852705,11.6868584804599,4.03647781791593,5.4796204733999,6.46098539169639,5.71047558489806,5.76684975110242,4.60483106236782,5.75282372149248,4.28445484108438,4.34385460899203,6.08664395551803,7.07882647406199
"GSM773551","1",4.45579965906052,5.36953676115547,10.6622514116296,5.15615602723711,3.70443686078758,4.53530673857438,6.29099699674556,5.56883290121334,4.40052597353409,7.27214116035042,3.17045517712216,7.78064858687911,5.77074929573656,6.79690367195994
"GSM773552","1",7.76484056385508,6.53342385547857,10.3746583622488,4.47877628656501,6.94064636339458,6.70948724870147,7.33365017776655,5.94449992457449,3.54077650180719,5.48866982161029,4.04045626201075,6.32428521639906,5.10107114309903,7.54886546370006
"GSM773553","1",5.50458380591416,6.93518170223567,9.28689628147092,6.12538063644535,5.15437147966747,6.45652638343439,8.33050908089185,4.97997741512539,5.70945733164862,6.51571994295607,0.732678790101118,8.21162005868347,3.24379543071606,4.57175826446286
"GSM773554","1",5.99626955050656,6.23364103485259,8.10987681044575,5.57549686873151,5.13375966232757,5.84964440465581,7.74569683953015,4.94125083199222,6.01180404485894,6.00412371855701,4.02364016202333,8.25659683335281,4.89375373484895,5.29151089703875
